episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
129, 2338.3548734486103, 1, 18.07041654398199, 36, 8855,                                         8855, 34.638397216796875, 121.10245513916016
130, 2272.8800270557404, 1, 41.4200317490031, 83, 8938,                                         8938, 34.970272064208984, 121.60906982421875
131, -1595.2486349642277, 4, 80.73032309897826, 162, 9100,                                         9100, 40.86724090576172, 122.72622680664062
132, 2152.2651851326227, 1, 47.019889513001544, 94, 9194,                                         9194, 33.375526428222656, 122.41416931152344
133, 2221.3909269142896, 1, 31.991053837991785, 64, 9258,                                         9258, 40.12504196166992, 122.88639068603516
134, -889.2951994538307, 5, 58.29706375100068, 117, 9375,                                         9375, 38.38503646850586, 123.69700622558594
135, 2443.8351512253284, 1, 15.501625105011044, 31, 9406,                                         9406, 35.52684783935547, 121.93128204345703
136, 1693.5104641914368, 1, 61.96454105997691, 124, 9530,                                         9530, 35.89973831176758, 123.43156433105469
137, -2654.7191286087036, 2, 15.061468758009141, 30, 9560,                                         9560, 36.513633728027344, 123.29801177978516
138, -3082.635370850563, 2, 44.959761047008215, 90, 9650,                                         9650, 34.56787109375, 123.52252960205078
139, -2845.1402430534363, 2, 34.45320546400035, 69, 9719,                                         9719, 33.18268585205078, 123.72286987304688
140, -317.7735913991928, 5, 17.96542058500927, 36, 9755,                                         9755, 38.51777648925781, 126.72802734375
141, 2390.913621870801, 1, 14.997731456998736, 30, 9785,                                         9785, 34.34164810180664, 124.94184875488281
142, 2318.4559572450817, 1, 29.898846557014622, 60, 9845,                                         9845, 35.69282913208008, 123.7950210571289
143, -622.1952902078629, 5, 16.038506331999088, 32, 9877,                                         9877, 39.44896697998047, 125.00370788574219
144, 2288.8863300830126, 1, 22.921141136990627, 46, 9923,                                         9923, 29.249267578125, 124.14751434326172
145, 1627.3351898789406, 1, 27.43385968299117, 55, 9978,                                         9978, 36.4799690246582, 125.63359069824219
146, 1764.5541837681085, 1, 50.366550220991485, 101, 10079,                                         10079, 38.0532341003418, 125.9139175415039
147, -4330.936150193214, 2, 51.32241779001197, 103, 10182,                                         10182, 30.416351318359375, 125.25652313232422
148, -941.8186627626419, 4, 80.32552731499891, 161, 10343,                                         10343, 35.34428405761719, 126.41719055175781
149, -2397.8301330804825, 2, 21.532260373001918, 43, 10386,                                         10386, 34.40351486206055, 126.6097412109375
150, 2365.0750460624695, 1, 14.979567625996424, 30, 10416,                                         10416, 29.97408676147461, 126.66658020019531
151, -2520.0550641417503, 2, 17.474006578006083, 35, 10451,                                         10451, 40.82740783691406, 127.0710678100586
152, -2791.504866361618, 2, 35.507908288011095, 71, 10522,                                         10522, 39.547611236572266, 127.04637908935547
153, -2464.921758890152, 2, 32.59823029799736, 65, 10587,                                         10587, 37.56230163574219, 127.65602111816406
154, 1955.8628267645836, 1, 21.46939391401247, 43, 10630,                                         10630, 40.35011291503906, 127.8828125
155, 2191.3580465316772, 1, 35.89576633099932, 72, 10702,                                         10702, 36.195186614990234, 127.71053314208984
156, 1810.9314028471708, 1, 37.89240600398625, 76, 10778,                                         10778, 35.43208694458008, 126.7756118774414
157, -2467.1374185085297, 2, 15.476141591003397, 31, 10809,                                         10809, 32.36841583251953, 128.10362243652344
158, 2304.5054596066475, 1, 29.46378583202022, 59, 10868,                                         10868, 37.51563262939453, 126.92222595214844
159, 2270.7318865582347, 1, 38.12064609801746, 76, 10944,                                         10944, 34.89396286010742, 128.4487762451172
160, 303.03134813532233, 1, 73.80875400200603, 148, 11092,                                         11092, 35.8718376159668, 127.6624526977539
161, -2710.779097557068, 2, 33.51866077800514, 67, 11159,                                         11159, 45.717376708984375, 128.56130981445312
162, 2375.3414194583893, 1, 21.028172805992654, 42, 11201,                                         11201, 35.94756317138672, 127.7463607788086
163, -3595.3501336574554, 2, 56.84465261400328, 114, 11315,                                         11315, 39.737491607666016, 128.58871459960938
164, -459.84650683403015, 5, 33.42708354300703, 67, 11382,                                         11382, 39.92082214355469, 127.29205322265625
165, 2064.8946809470654, 1, 32.065974043973256, 64, 11446,                                         11446, 34.95844268798828, 128.1072235107422
166, -2929.969130039215, 2, 16.471961615985492, 33, 11479,                                         11479, 51.16616439819336, 128.977783203125
167, -3137.03830575943, 2, 40.487572796002496, 81, 11560,                                         11560, 32.459739685058594, 127.56954956054688
168, 2077.510645508766, 1, 43.89530594399548, 88, 11648,                                         11648, 38.91813659667969, 129.95501708984375
169, 2194.5926625728607, 1, 36.925465341017116, 74, 11722,                                         11722, 40.986881256103516, 129.7333526611328
170, 2337.3167786598206, 1, 25.45095122800558, 51, 11773,                                         11773, 37.519805908203125, 130.9766387939453
171, 1893.9040283560753, 1, 29.53668909901171, 59, 11832,                                         11832, 43.02309799194336, 130.6762237548828
172, -2947.8959732055664, 2, 22.567331570986426, 45, 11877,                                         11877, 38.911399841308594, 129.99525451660156
173, 2289.5603503137827, 1, 23.975782204972347, 48, 11925,                                         11925, 37.1231803894043, 130.2966766357422
174, -2358.417578458786, 2, 31.970070295996265, 64, 11989,                                         11989, 37.068931579589844, 130.92930603027344
175, 2394.1493426263332, 1, 15.974552842002595, 32, 12021,                                         12021, 39.506954193115234, 130.37686157226562
176, -2711.627241253853, 2, 14.955267271987395, 30, 12051,                                         12051, 24.790346145629883, 131.53582763671875
177, 2439.3150634383783, 1, 17.988462991983397, 36, 12087,                                         12087, 46.89461898803711, 131.5911865234375
178, -3043.892026782036, 2, 15.944510328001343, 32, 12119,                                         12119, 38.225616455078125, 128.30191040039062
179, -2513.7942140102386, 2, 23.455900054017548, 47, 12166,                                         12166, 40.239158630371094, 131.2486114501953
180, 2271.2222816348076, 1, 32.02417074801633, 64, 12230,                                         12230, 43.890472412109375, 130.9099884033203
181, 2305.066605521366, 1, 40.498799406021135, 81, 12311,                                         12311, 41.69575119018555, 130.72303771972656
182, 1222.9164488986135, 1, 74.33836502599297, 149, 12460,                                         12460, 43.285465240478516, 131.14566040039062
183, 1029.705783188343, 1, 36.32713967000018, 73, 12533,                                         12533, 39.48016357421875, 132.03732299804688
184, 2393.1463494300842, 1, 25.414539003017126, 51, 12584,                                         12584, 39.15460968017578, 132.77188110351562
185, -2528.055074572563, 2, 48.960448755999096, 98, 12682,                                         12682, 38.8854866027832, 131.93975830078125
186, 2358.063197374344, 1, 15.614962762978394, 31, 12713,                                         12713, 38.00950622558594, 131.61102294921875
187, -2402.306594848633, 2, 17.56084336602362, 35, 12748,                                         12748, 39.78946304321289, 134.11122131347656
188, 2433.8282875828445, 1, 17.563414775999263, 35, 12783,                                         12783, 31.441904067993164, 131.27114868164062
189, -3069.100931406021, 2, 14.979460121016018, 30, 12813,                                         12813, 41.770469665527344, 132.16635131835938
190, 2351.77330160141, 1, 15.979634132003412, 32, 12845,                                         12845, 30.27708625793457, 130.86398315429688
191, 1800.2292953804135, 1, 47.962066769978264, 96, 12941,                                         12941, 35.25372314453125, 133.8798370361328
192, -3232.503266096115, 2, 29.997003457974643, 60, 13001,                                         13001, 38.14869689941406, 132.80816650390625
193, -2559.356549143791, 2, 20.439448298013303, 41, 13042,                                         13042, 33.119728088378906, 132.893310546875
194, 2418.766576901078, 1, 21.50516942399554, 43, 13085,                                         13085, 42.81818771362305, 134.11656188964844
195, -2577.9700852632523, 2, 16.17473952099681, 32, 13117,                                         13117, 40.807701110839844, 135.60012817382812
196, 2295.438460022211, 1, 28.986341918993276, 58, 13175,                                         13175, 45.06399917602539, 132.36050415039062
197, 2338.9693127945065, 1, 18.564851517003262, 37, 13212,                                         13212, 45.332218170166016, 135.27847290039062
198, -3074.7044872045517, 2, 21.98369239299791, 44, 13256,                                         13256, 37.8165283203125, 134.44482421875
199, 1913.1941553503275, 1, 26.582828382990556, 53, 13309,                                         13309, 39.95458221435547, 131.742919921875
200, -3132.8889515399933, 2, 17.466953443014063, 35, 13344,                                         13344, 48.12617111206055, 131.9284210205078
201, -2423.9000240564346, 2, 19.056128145981347, 38, 13382,                                         13382, 33.30986785888672, 133.5411834716797
202, -2929.260500192642, 2, 24.917177989991615, 50, 13432,                                         13432, 43.868247985839844, 133.2266082763672
203, 2175.295341528952, 1, 20.0359787089983, 40, 13472,                                         13472, 44.69148635864258, 134.41021728515625
204, 2188.894899368286, 1, 47.94950850697933, 96, 13568,                                         13568, 36.8071403503418, 134.68211364746094
205, 1949.6979658156633, 1, 21.47214607699425, 43, 13611,                                         13611, 37.4093017578125, 135.9513702392578
206, 2281.779607653618, 1, 24.535948243021267, 49, 13660,                                         13660, 43.916847229003906, 134.13186645507812
207, -2198.440099954605, 2, 14.990618961019209, 30, 13690,                                         13690, 38.01266098022461, 133.8042449951172
208, 2387.1339690983295, 1, 21.131987217988353, 42, 13732,                                         13732, 38.125152587890625, 133.4588623046875
209, 1862.2012288570404, 1, 26.492729316989426, 53, 13785,                                         13785, 43.882938385009766, 136.12640380859375
210, -694.283992767334, 5, 22.007866330997786, 44, 13829,                                         13829, 37.02839660644531, 133.51893615722656
211, -2222.0284402370453, 2, 18.996514699974796, 38, 13867,                                         13867, 45.168426513671875, 137.00665283203125
212, 2019.6862844228745, 1, 30.42502099002013, 61, 13928,                                         13928, 41.69158935546875, 135.71609497070312
213, -2523.9950280189514, 2, 14.915508745005354, 30, 13958,                                         13958, 40.41651153564453, 135.7042694091797
214, 2335.2943102046847, 1, 27.00588480499573, 54, 14012,                                         14012, 36.87731170654297, 137.94483947753906
215, -3586.9833538532257, 2, 47.849222361983266, 96, 14108,                                         14108, 38.50733947753906, 136.3219757080078
216, -2392.725955247879, 2, 20.973812142008683, 42, 14150,                                         14150, 52.0420036315918, 135.6905975341797
217, 1566.2874863147736, 1, 38.515305242006434, 77, 14227,                                         14227, 32.40453338623047, 136.85464477539062
218, -2843.897167444229, 2, 26.012445515982108, 52, 14279,                                         14279, 38.57109832763672, 135.73638916015625
219, 2323.066532790661, 1, 19.985038320010062, 40, 14319,                                         14319, 40.84955596923828, 135.9219512939453
